"측정소명","년/월/일","수위(cm)","최고수위(cm)","최저수위(cm)"
"김포시(전류리)","2021/08/09","73","",""
"김포시(전류리)","2021/08/08","161.54","",""
"김포시(전류리)","2021/08/07","148.08","",""
"김포시(전류리)","2021/08/06","-23","",""
"김포시(전류리)","2021/08/05","-38","",""
"김포시(전류리)","2021/08/04","104.88","",""
"김포시(전류리)","2021/08/03","98.96","",""
"김포시(전류리)","2021/08/02","260","",""
"김포시(전류리)","2021/08/01","123.46","",""
"김포시(전류리)","2021/07/31","136.13","",""
"김포시(전류리)","2021/07/30","242","",""
"김포시(전류리)","2021/07/29","222","",""
"김포시(전류리)","2021/07/28","201","",""
"김포시(전류리)","2021/07/27","180","",""
"김포시(전류리)","2021/07/26","147","",""
"김포시(전류리)","2021/07/25","205.71","",""
"김포시(전류리)","2021/07/24","189.25","",""
"김포시(전류리)","2021/07/23","21","",""
"김포시(전류리)","2021/07/22","-19","",""
"김포시(전류리)","2021/07/21","7","",""
"김포시(전류리)","2021/07/20","132","",""
"김포시(전류리)","2021/07/19","123.92","",""
"김포시(전류리)","2021/07/18","128","",""
"김포시(전류리)","2021/07/17","143.04","",""
"김포시(전류리)","2021/07/16","216","",""
"김포시(전류리)","2021/07/15","186","",""
"김포시(전류리)","2021/07/14","158","",""
"김포시(전류리)","2021/07/13","142","",""
"김포시(전류리)","2021/07/12","108","",""
"김포시(전류리)","2021/07/11","180.33","",""
"김포시(전류리)","2021/07/10","177.63","",""
"김포시(전류리)","2021/07/09","62","",""
"김포시(전류리)","2021/07/08","11","",""
"김포시(전류리)","2021/07/07","-3","",""
"김포시(전류리)","2021/07/06","14","",""
"김포시(전류리)","2021/07/05","140.5","",""
"김포시(전류리)","2021/07/04","146.67","",""
"김포시(전류리)","2021/07/03","114.71","",""
"김포시(전류리)","2021/07/02","117.42","",""
"김포시(전류리)","2021/07/01","239","",""
"김포시(전류리)","2021/06/30","156.54","",""
"김포시(전류리)","2021/06/29","186","",""
"김포시(전류리)","2021/06/28","163","",""
"김포시(전류리)","2021/06/27","191.58","",""
"김포시(전류리)","2021/06/26","193.38","",""
"김포시(전류리)","2021/06/25","190","",""
"김포시(전류리)","2021/06/24","48","",""
"김포시(전류리)","2021/06/23","22","",""
"김포시(전류리)","2021/06/22","-6","",""
"김포시(전류리)","2021/06/21","75","",""
"김포시(전류리)","2021/06/20","131.75","",""
"김포시(전류리)","2021/06/19","119.63","",""
"김포시(전류리)","2021/06/18","120.54","",""
"김포시(전류리)","2021/06/17","205","",""
